RecordDate,Symbol,Series,Prev_Close,Day_Open,Day_High,Day_Low,Day_Last,Day_Close,VWAP,Volume,Turnover,Trades,Deliverable_Volume,Percent_Deliverable,Industry
2021-02-01,ITC,EQ,203.25,204,217.95,201.8,216.55,215.95,211.22,57744414,1219698221275000,340533,18192320,0.315,CONSUMER GOODS
2021-02-01,KOTAKBANK,EQ,1712.95,1730,1809.8,1696.05,1807.95,1801.5,1753.04,4829210,846579354380000,185522,2134845,0.4421,FINANCIAL SERVICES
2021-02-01,LT,EQ,1334.7,1345.75,1462,1337.2,1458.75,1448.85,1405.46,11317043,1590561618325000,324331,4762242,0.4208,CONSTRUCTION
2021-02-01,NTPC,EQ,88.95,89.35,92.4,88.4,92.15,92,90.48,29033297,262699401845000,95006,12043714,0.4148,POWER
2021-02-01,TATASTEEL,EQ,601,604.9,640,597.45,637.8,636.1,617.62,21084694,1302232549930000,245588,3493105,0.1657,METALS
2021-02-01,JSWSTEEL,EQ,366.85,366.5,384.4,363.65,381,380.85,372.21,6141212,228582845030000.03,62448,884581,0.14400000000000002,METALS
2021-02-01,ULTRACEMCO,EQ,5327.25,5384,5793.25,5260,5750,5744.15,5589.68,1455212,813417135025000,120882,529211,0.3637,CEMENT & CEMENT PRODUCTS
2021-02-01,MARUTI,EQ,7206.65,7265.2,7475,7152,7430,7399.8,7315.28,1611478,1178841080405000,179773,290905,0.1805,AUTOMOBILE
2021-02-01,NESTLEIND,EQ,17060,17200,17275.7,17000,17139,17087.7,17109.82,84406,144417114090000,23144,38293,0.4537,CONSUMER GOODS
2021-02-01,IOC,EQ,93.25,95.8,96.4,93.4,96.15,95.8,94.99,53177517,505111252095000,128702,16665717,0.3134,OIL & GAS
2021-02-01,TATAMOTORS,EQ,262.7,269.75,282,255.35,280.3,279.6,269.6,165655500,4466063381745000,797774,12678691,0.0765,AUTOMOBILE
2021-02-01,SHREECEM,EQ,22773.35,23100,24690.45,22711.95,24600,24543.6,23713.69,112280,266257319035000,30036,35185,0.3134,CEMENT & CEMENT PRODUCTS
2021-02-01,TCS,EQ,3111.35,3100,3165,3044.1,3150,3139.35,3098.04,3985846,1234831821280000,280031,2125201,0.5332,IT
2021-02-01,ONGC,EQ,88.3,89,91.2,88.45,90.95,90.85,89.9,24228098,217806122545000,101167,8871835,0.3662,OIL & GAS
2021-02-01,POWERGRID,EQ,184.45,184.45,189.45,182.5,189.2,188.9,186.73,5335449,99626795820000,54777,2142463,0.4016,POWER
